location,fault_severity,proba_0,proba_1,proba_2
location 118,0,0.9625433790791094,0.03261108938213185,0.004845531538758849
location 91,0,0.9707003100267126,0.023857669292068076,0.005442020681219399
location 152,0,0.5209323356672695,0.46896634390874725,0.010101320423983227
location 931,0,0.5451285710951427,0.2581653775676354,0.1967060513372219
location 120,0,0.701579291599184,0.2588790190099598,0.0395416893908563
location 664,0,0.7466716327293689,0.2197715011829537,0.033556866087677314
location 640,0,0.8642116363944324,0.12613385113819386,0.009654512467373822
location 122,0,0.9577869445573803,0.03735154680001206,0.004861508642607532
location 263,0,0.5451686146793546,0.44506542212137307,0.00976596319927229
location 613,0,0.7612505052218074,0.1538888860892826,0.08486060868891016
location 760,1,0.2520209044758508,0.6931605581281738,0.054818537395975246
location 519,0,0.6568423358471297,0.3333041977595218,0.009853466393348444
location 746,0,0.6425662487406743,0.32265210065432864,0.03478165060499708
location 1066,1,0.4058159748661382,0.554073068754187,0.04011095637967487
location 812,0,0.6667082921968188,0.29450007959407537,0.03879162820910587
location 343,0,0.5621934939702798,0.42685471818068194,0.01095178784903822
location 133,0,0.7240800170940133,0.26647417815954666,0.009445804746440075
location 976,0,0.7565621900766153,0.19636866402586728,0.04706914589751744
location 948,0,0.5391193272644399,0.42669127924090683,0.03418939349465332
location 808,0,0.9198514820527876,0.06534822527597552,0.014800292671236996
location 894,0,0.733584027896857,0.14581847027316136,0.12059750182998183
location 875,0,0.5275039019388366,0.41485223157722334,0.05764386648394005
location 1024,0,0.9312753066663781,0.05749059815734429,0.011234095176277461
location 166,0,0.9346299986015687,0.05992320667376127,0.0054467947246701785
location 687,0,0.8200784690021748,0.1517367527924437,0.028184778205381577
location 1016,1,0.3376472144679634,0.6338177828892207,0.028535002642815957
location 707,0,0.8970775923867511,0.08534801528733954,0.017574392325909106
location 978,0,0.4970629049737388,0.48167239969303044,0.021264695333230953
location 775,0,0.5488050691900488,0.3080962900657322,0.14309864074421924
location 829,0,0.779549514830133,0.19962178127305627,0.020828703896810612
location 732,0,0.6689118841617676,0.3018570780095577,0.029231037828674592
location 508,0,0.9713965788964416,0.023845682753410688,0.00475773835014784
location 257,0,0.6805302618752815,0.3072215578210196,0.012248180303698824
location 116,0,0.8809393630648764,0.1120470761738549,0.0070135607612684375
location 830,1,0.3903691274921077,0.5501611601707227,0.05946971233716952
location 491,0,0.8075331000640315,0.1836853193288661,0.008781580607102385
location 253,0,0.8393407238505952,0.152948937840249,0.007710338309155551
location 740,0,0.9273972157173984,0.062413018250507546,0.01018976603209427
location 704,2,0.23978967652827415,0.1386739281548312,0.6215363953168946
location 1089,0,0.3845753885625667,0.3007921075031223,0.314632503934311
location 653,0,0.8310291397907854,0.1465315788407307,0.02243928136848374
location 600,1,0.23531451288525618,0.5924163415134833,0.17226914560126053
location 892,0,0.39892748869230127,0.255620882886848,0.34545162842085086
location 802,0,0.8342659433601414,0.15130917624647855,0.014424880393380081
location 794,0,0.8623644619721477,0.08725692413501583,0.05037861389283651
location 477,0,0.9747029164528279,0.020623968518038483,0.0046731150291336255
location 684,2,0.19259243365553827,0.16003161730659968,0.647375949037862
location 895,1,0.21188039393156477,0.44387330081226356,0.34424630525617156
location 496,0,0.9394722870476899,0.05453611587853015,0.005991597073779885
location 321,0,0.8634398037316545,0.12918476604492085,0.007375430223424678
location 1107,2,0.1274322240877146,0.12309737589372784,0.7494704000185575
location 1086,2,0.15090757828572715,0.1693032772426782,0.6797891444715947
location 895,1,0.1873762904884939,0.5252653702331161,0.28735833927838994
location 1099,0,0.6711732343288418,0.2752238606225073,0.05360290504865094
location 975,0,0.797074715314901,0.1914069886962894,0.011518295988809686
location 1019,2,0.1561249723117468,0.08357118093487982,0.7603038467533735
location 812,0,0.4747874230437414,0.3315709161266836,0.193641660829575
location 342,0,0.6862842255702047,0.3030396473874647,0.010676127042330445
location 744,1,0.3794192351383418,0.5918039058815853,0.028776858980072966
location 181,0,0.9319043244291115,0.06244049665204832,0.005655178918840002
location 1086,2,0.16596998390389628,0.24265387795811633,0.5913761381379876
location 1052,1,0.3405249714077697,0.48635854929652167,0.1731164792957087
location 696,0,0.5132163544417817,0.46351002192385343,0.02327362363436477
location 1008,1,0.21100843926324836,0.5433348691850819,0.2456566915516697
location 798,2,0.2154280088487667,0.38327504564396,0.4012969455072732
location 760,0,0.5027055256931294,0.431368280392787,0.06592619391408364
location 777,1,0.16682362447661644,0.7163954176400965,0.11678095788328699
location 95,0,0.9101317018432109,0.08426909827169486,0.00559919988509391
location 699,0,0.6688385758793193,0.3186388249609624,0.012522599159718375
location 272,1,0.42516715512163766,0.5630726745833707,0.011760170294991747
location 704,2,0.24542910668619589,0.3423109564744047,0.4122599368393995
location 613,2,0.20606962988542915,0.3856742888569746,0.4082560812575961
location 846,2,0.20572091548638463,0.17906744514754233,0.6152116393660731
location 795,0,0.8346652991720281,0.0990059151846471,0.06632878564332496
location 826,1,0.1808513588899642,0.6762939532299466,0.14285468788008918
location 112,0,0.7785735287059486,0.20876982159108645,0.012656649702964824
location 778,0,0.7814479082033087,0.190489750576282,0.028062341220409362
location 810,1,0.3978995750586052,0.399113242641299,0.20298718230009608
location 895,1,0.39135453194645836,0.5707795958167147,0.03786587223682679
location 690,0,0.9185147099218922,0.07032629955234075,0.011158990525767009
location 494,0,0.874680462227701,0.10812224854566473,0.017197289226634164
location 1095,0,0.8644302078618761,0.1176542105045625,0.017915581633561575
location 445,0,0.9458482675941443,0.04877261652698035,0.0053791158788754736
location 478,0,0.9513002884909967,0.04268169949331372,0.006018012015689539
location 661,0,0.6784294921516292,0.2975316872274416,0.024038820620929165
location 380,0,0.924657456062302,0.06911407991378857,0.006228464023909364
location 242,0,0.9459529345079123,0.048667354363977094,0.005379711128110609
location 1082,0,0.6394815086685129,0.32859846627701933,0.03192002505446786
location 181,0,0.9218035886831305,0.07228280561825555,0.005913605698614039
location 1007,0,0.7160485835801617,0.25832634883167155,0.025625067588166784
location 131,0,0.5144619736996748,0.4752140358579225,0.010323990442402698
location 1007,0,0.757052520971518,0.21148653213177124,0.031460946896710903
location 931,0,0.4668580290670789,0.43115897382109086,0.10198299711183033
location 980,1,0.4024593681106455,0.5702424598972371,0.027298171992117523
location 118,0,0.921572451559702,0.07048894336195469,0.007938605078343364
location 373,0,0.8364330310036905,0.15440192950791876,0.009165039488390791
location 169,0,0.7005699259258794,0.29065552680263257,0.008774547271487916
location 421,0,0.8579702502052318,0.1330854728250692,0.008944276969698888
location 779,2,0.10369690208698915,0.13120295917513994,0.765100138737871
location 690,1,0.2206169786552199,0.7384064107400004,0.04097661060477956
location 59,0,0.7812063495564898,0.1981644864660195,0.020629163977490806
location 648,1,0.34210178232318983,0.6214767616700816,0.03642145600672873
location 478,0,0.9690198892225614,0.02541471701013325,0.005565393767305534
location 118,0,0.951480688088727,0.043632101658789786,0.004887210252483469
location 124,0,0.951266843140661,0.04378163579462761,0.0049515210647114605
location 7,0,0.7559936084066984,0.16614213152934662,0.07786426006395498
location 12,0,0.6708276435060547,0.2881581138393389,0.04101424265460621
location 1026,0,0.48504114854783326,0.4645959990248148,0.05036285242735205
location 270,0,0.9267602106875095,0.06726257632239378,0.005977212990096602
location 1106,0,0.5663367558667557,0.3670170819977663,0.06664616213547822
location 1090,0,0.5159203474372812,0.377460111645361,0.10661954091735806
location 522,0,0.8894444285659125,0.10384741873175404,0.006708152702333336
location 1007,0,0.6732117347652268,0.3038142081385123,0.022974057096260943
location 836,0,0.9175558853721081,0.07117913978436485,0.01126497484352715
location 145,0,0.9055223984950737,0.08780843789018418,0.006669163614741945
location 895,1,0.21694447145155574,0.6928817905926435,0.09017373795580083
location 1020,2,0.05865722327164331,0.23159083041306336,0.7097519463152933
location 804,0,0.797074715314901,0.1914069886962894,0.011518295988809686
location 1055,0,0.9176451175280875,0.04334428300120421,0.039010599470708264
location 798,0,0.5913071988456337,0.14721517289177882,0.2614776282625877
location 1052,1,0.16840687198685284,0.5264727590728671,0.30512036894027994
location 122,0,0.9173945370514375,0.07620304044137767,0.006402422507184737
location 157,0,0.6835185138602128,0.30664800822077815,0.009833477919008958
location 802,0,0.6227229426281212,0.3096055306948187,0.06767152667706014
location 242,0,0.9721295662062952,0.023081912603747392,0.004788521189957138
location 893,0,0.7862897467436832,0.13849866763901603,0.07521158561730064
location 457,0,0.9746030821277385,0.020938511329759595,0.004458406542501933
location 99,0,0.9346299986015687,0.05992320667376127,0.0054467947246701785
location 839,0,0.5717894394825872,0.29276869627263885,0.1354418642447737
location 719,0,0.8078996980657209,0.1807269638454937,0.011373338088785217
location 793,0,0.9312596847040779,0.05536665174671307,0.013373663549208954
location 1109,0,0.8078996980657209,0.1807269638454937,0.011373338088785217
location 648,1,0.40769469903576716,0.4971561960122382,0.09514910495199468
location 957,0,0.8798266587033359,0.10353315864238297,0.0166401826542809
location 600,2,0.3279171356629064,0.260531509112419,0.41155135522467456
location 665,0,0.78125143129867,0.17583001809041435,0.0429185506109155
location 846,0,0.8989638775373101,0.08338289169389468,0.01765323076879535
location 1107,2,0.2846085552099871,0.23289486145014862,0.4824965833398644
location 1052,2,0.19507492094166307,0.3048655844090035,0.5000594946493335
location 1107,2,0.16132009901403196,0.15944798071708682,0.6792319202688812
location 948,0,0.5192411428829292,0.45462366674695454,0.02613519037011612
location 646,0,0.3472758233826253,0.3422423572312948,0.31048181938607994
location 302,0,0.9244099392905685,0.06956429516436366,0.006025765545067729
location 273,0,0.6692163326976872,0.29182968175120094,0.03895398555111187
location 1,0,0.8860584034279767,0.09573219349256042,0.018209403079462998
location 124,0,0.9597449811008633,0.035479094559780475,0.00477592433935618
location 704,0,0.7069151525395594,0.23365914097130341,0.059425706489137316
location 476,0,0.9712484109602159,0.023982280310992667,0.004769308728791581
location 152,0,0.8221369006519654,0.16984772376013574,0.008015375587898735
location 734,0,0.8192951154032309,0.15199875596616036,0.02870612863060888
location 1076,0,0.572407592223223,0.41053978797668245,0.017052619800094333
location 798,0,0.5650853106763963,0.21592499404489307,0.21898969527871046
location 520,0,0.9510975736256142,0.04397330339571738,0.004929122978668562
location 1046,1,0.3344912146920855,0.628896306525265,0.0366124787826494
location 803,1,0.47382247774190456,0.5009003847132769,0.025277137544818456
location 963,0,0.9488305708216642,0.027960126885676274,0.023209302292659464
location 821,0,0.7125130890469166,0.25014837089308933,0.037338540059994214
location 1061,0,0.41126632573300514,0.19898438139886335,0.3897492928681315
location 714,1,0.39235679520148875,0.5104249035791074,0.09721830121940377
location 242,0,0.9721978392759327,0.02308353365620927,0.00471862706785792
location 613,1,0.08364899556444366,0.7247874664521902,0.19156353798336634
location 91,0,0.870458043250484,0.12280550030662639,0.0067364564428897735
location 1007,0,0.7340225289803415,0.2401068757214395,0.025870595298219105
location 300,0,0.9256231143392407,0.06765995803273238,0.006716927628026901
location 272,0,0.6416283293153746,0.3484627079656722,0.009908962718953501
location 1106,0,0.5589069506358417,0.3861594517620913,0.05493359760206706
location 611,0,0.7962506267664203,0.19223168107477304,0.01151769215880664
location 724,1,0.30841193824019186,0.6439483758360918,0.04763968592371655
location 173,0,0.49652436229916025,0.4894832172251762,0.013992420475663675
